"","Districtcode","Wardcode","Wardname","Population2011Census.x","Crimerate","Openspace","hhSocialRented","JobSeekers","Noqual","Carsperhousehold","LifeExpectancy","Children","Greaterthan65","nonwhite","NotBorninUK","NotEnglishspeaking"
"88"," 00BF","00BFGT","Sutton - Wallington South",10200,72,9.5,16.4,4.2,18.7,1.1,129.85,18.2058823529412,17.3,21.3,18.5,4.3
"89"," 00AE","00AEGL","Brent - Brondesbury Park",13023,91.6,9.6,21.5,5.3,15.9,0.7,82.5,16.7933655839668,12.1,43.8,47.2,16.2
"90"," 00AU","00AUGL","Islington - St. Mary's",11553,253.8,9.6,41.5,5.1,15.5,0.4,78,NA,NA,NA,NA,NA
"91"," 00AZ","00AZGS","Lewisham - Perry Vale",15618,74.7,9.7,26.5,7.1,16.2,0.7,78.5,20.6876680752977,9.6,42.5,30.5,7.2
"92"," 00AE","00AEGU","Brent - Mapesbury",15529,97.9,9.7,19.2,7.3,14.5,0.6,82.3,16.066713890141,8.3,43.4,52.3,21.3
"93"," 00AN","00ANGP","Hammersmith and Fulham - Shepherd's Bush Green",12175,349.3,9.7,37.9,8.2,13.9,0.4,79.05,NA,NA,NA,NA,NA
"94"," 00AN","00ANGL","Hammersmith and Fulham - Parsons Green and Walham",10813,124,9.8,20.6,3,9.5,0.8,82.45,NA,NA,NA,NA,NA
"95"," 00AW","00AWGE","Kensington and Chelsea - Earl's Court",9104,105.6,10,22.7,5.1,8.4,0.4,87.4,NA,NA,NA,NA,NA
"96"," 00AT","00ATGP","Hounslow - Hounslow West",12658,130.4,10.2,18.9,4.6,16.3,0.9,78.95,17.4435139832517,11.2,75.9,62.6,29.4
"97"," 00AY","00AYGE","Lambeth - Ferndale",15032,172.6,10.2,37.4,6.6,13.3,0.4,78.7,12.5598722724854,6.2,40.4,41.7,11.8
"98"," 00BB","00BBGR","Newham - Plaistow North",15470,74,10.3,41.7,11.3,23.6,0.5,78.75,23.6005171299289,7.1,73.4,52.1,23.6
"99"," 00BF","00BFGJ","Sutton - Nonsuch",10641,50.7,10.4,3.6,1.7,18.6,1.4,84.5,18.5508880744291,17.3,15.3,15.7,3.6
"100"," 00AU","00AUGJ","Islington - Mildmay",12917,88.9,10.4,47,6.8,17.4,0.4,78.95,18.2550127738639,7.8,34.5,33.8,10.6
"101"," 00AU","00AUGM","Islington - St. Peter's",11822,149.9,10.4,40.4,5.9,17.3,0.4,78.4,NA,NA,NA,NA,NA
"102"," 00AU","00AUGE","Islington - Highbury West",15030,86.8,10.5,33.5,6,12.6,0.4,80.2,15.189620758483,6.7,32.1,34.5,12.8
"103"," 00AP","00APGQ","Haringey - Tottenham Green",14580,151.9,10.5,39.2,12.7,22.7,0.4,77.65,20.4183813443073,8.2,52.8,55,25.8
"104"," 00AW","00AWGB","Kensington and Chelsea - Colville",8377,197.2,10.5,45.2,6.4,13.1,0.4,83.2,NA,NA,NA,NA,NA
"105"," 00BC","00BCGS","Redbridge - Snaresbrook",11865,67.8,10.6,11.8,2.8,14.9,1,81.35,15.4150863885377,17.6,30.2,27.2,6.5
"106"," 00AN","00ANGJ","Hammersmith and Fulham - North End",11589,97.7,10.6,28.6,4.7,11.2,0.4,84.45,NA,NA,NA,NA,NA
"107"," 00BH","00BHGJ","Waltham Forest - Hoe Street",13912,110.2,10.6,27,11.5,19,0.6,78.8,21.0753306497987,8.8,49.9,42.8,17.2
"108"," 00AQ","00AQGP","Harrow - Rayners Lane",11124,44.4,10.7,2.2,3.2,13.7,1.3,83.55,20.631067961165,13.9,65.5,48,17.6
